fixture                                                                                   path                           chose         status
---------------------------------------------------------------------------------------------------------------------------------------------------
haki_boss_first_scored_array                                                              haki/boss-first                PSYCHIC_M     OK
haki_boss_first_unscored_array                                                            haki/boss-first                PSYCHIC_M     OK
haki_boss_first_immune_move_favoured                                                      haki/boss-first                PSYCHIC_M     OK
haki_gate_requires_boss_first                                                             haki/gates                     (none)        OK
haki_gate_requires_usemove                                                                haki/gates                     (none)        OK
haki_gate_requires_eligible_window                                                        haki/gates                     (none)        OK
haki_gate_once_per_battle                                                                 haki/gates                     (none)        OK
haki_gate_no_player_move_locked                                                           haki/gates                     (none)        OK
haki_gate_locked_in_enemy                                                                 haki/gates                     (none)        OK
eligible_mid_tier_gym_leader                                                              haki/eligibility               (none)        OK
eligible_early_tier_refused                                                               haki/eligibility               (none)        OK
eligible_excluded_class_refused                                                           haki/eligibility               (none)        OK
haki_after_player_switch                                                                  haki/after-player              PSYCHIC_M     OK
haki_after_player_move                                                                    haki/after-player              PSYCHIC_M     OK
normal_turn_refuses_immune_move                                                           normal/move-choice             PSYCHIC_M     OK
normal_turn_immune_move_poisoned_low                                                      normal/move-choice             PSYCHIC_M     OK
destiny_bond_declined_at_full_hp                                                          scoring/destiny-bond           PSYCHIC_M     OK
destiny_bond_taken_when_dying                                                             scoring/destiny-bond           DESTINY_BOND  OK
available_pp_live                                                                         strategy/availability          (none)        OK
available_pp_empty                                                                        strategy/availability          (none)        OK
available_pp_up_bits_only                                                                 strategy/availability          (none)        OK
available_disabled                                                                        strategy/availability          (none)        OK
available_choice_same                                                                     strategy/availability          (none)        OK
available_choice_other                                                                    strategy/availability          (none)        OK
available_stale_choice                                                                    strategy/availability          (none)        OK
available_vest_attack                                                                     strategy/availability          (none)        OK
available_vest_status                                                                     strategy/availability          (none)        OK
ko_scan_usable                                                                            strategy/available-ko          (none)        OK
ko_scan_no_pp                                                                             strategy/available-ko          (none)        OK
ko_scan_disabled                                                                          strategy/available-ko          (none)        OK
ko_scan_choice_elsewhere                                                                  strategy/available-ko          (none)        OK
quarter_hp_24                                                                             strategy/quarter-hp            (none)        OK
quarter_hp_25                                                                             strategy/quarter-hp            (none)        OK
quarter_hp_26                                                                             strategy/quarter-hp            (none)        OK
quarter_hp_64                                                                             strategy/quarter-hp            (none)        OK
quarter_hp_65                                                                             strategy/quarter-hp            (none)        OK
setup_window_t0_hp100_threat0                                                             strategy/setup-window          (none)        OK
setup_window_t7_hp100_threat0                                                             strategy/setup-window          (none)        OK
setup_window_t7_hp20_threat0                                                              strategy/setup-window          (none)        OK
setup_window_t7_hp100_threat1                                                             strategy/setup-window          (none)        OK
scout_cached_0                                                                            strategy/scout                 (none)        OK
scout_cached_1                                                                            strategy/scout                 (none)        OK
switch_risk_t1_none                                                                       strategy/switch-risk           (none)        OK
switch_risk_t1_likely                                                                     strategy/switch-risk           (none)        OK
switch_risk_t1_possible                                                                   strategy/switch-risk           (none)        OK
switch_risk_t2_none                                                                       strategy/switch-risk           (none)        OK
switch_risk_t2_likely                                                                     strategy/switch-risk           (none)        OK
switch_risk_t2_possible                                                                   strategy/switch-risk           (none)        OK
switch_risk_t3_none                                                                       strategy/switch-risk           (none)        OK
switch_risk_t3_likely                                                                     strategy/switch-risk           (none)        OK
switch_risk_t3_possible                                                                   strategy/switch-risk           (none)        OK
risk_accumulation_90_20                                                                   strategy/switch-risk           (none)        OK
risk_accumulation_250_20                                                                  strategy/switch-risk           (none)        OK
risk_accumulation_10_20                                                                   strategy/switch-risk           (none)        OK
speed_own59_stage7_level24_status0_scarfFalse                                             strategy/public-speed          (none)        OK
speed_own20_stage7_level24_status0_scarfFalse                                             strategy/public-speed          (none)        OK
speed_own59_stage13_level24_status0_scarfFalse                                            strategy/public-speed          (none)        OK
speed_own59_stage1_level24_status0_scarfFalse                                             strategy/public-speed          (none)        OK
speed_own59_stage7_level80_status0_scarfFalse                                             strategy/public-speed          (none)        OK
speed_own20_stage7_level24_status64_scarfFalse                                            strategy/public-speed          (none)        OK
speed_own25_stage7_level24_status0_scarfFalse                                             strategy/public-speed          (none)        OK
speed_own25_stage7_level24_status0_scarfTrue                                              strategy/public-speed          (none)        OK
speed_own300_stage13_level80_status0_scarfFalse                                           strategy/public-speed          (none)        OK
lookahead_all_20_20_20_20                                                                 strategy/exhaustive-lookahead  (none)        OK
lookahead_all_1_40_79_60                                                                  strategy/exhaustive-lookahead  (none)        OK
lookahead_all_80_20_80_60                                                                 strategy/exhaustive-lookahead  (none)        OK
scout_new_tick_resets                                                                     strategy/scout                 (none)        OK
refiner_MANTINE_MANTINE_MANTINE_MANTINE_MANTINE_GOLEMFalse                                strategy/switch-selection      (none)        OK
refiner_MANTINE_GOLEM_MANTINE_MANTINE_MANTINE_MANTINEFalse                                strategy/switch-selection      (none)        OK
refiner_MANTINE_LANTURN_RAICHUTrue                                                        strategy/switch-selection      (none)        OK
refiner_MANTINE_MANTINEFalse                                                              strategy/switch-selection      (none)        OK
perish_neutral_escape_hp100                                                               strategy/perish                (none)        OK
perish_neutral_escape_hp1                                                                 strategy/perish                (none)        OK
perish_neutral_escape_hp0                                                                 strategy/perish                (none)        OK
scout_one_actual_roll                                                                     strategy/scout                 (none)        OK
perish_forced_count0                                                                      strategy/perish                (none)        OK
perish_forced_count1                                                                      strategy/perish                (none)        OK
perish_forced_count2                                                                      strategy/perish                (none)        OK
perish_forced_count3                                                                      strategy/perish                (none)        OK
speed_estimate_SHUCKLE_None_0_7                                                           strategy/public-speed          (none)        OK
speed_estimate_MAGNEMITE_('ELECTRIC', 'ELECTRIC')_0_7                                     strategy/public-speed          (none)        OK
speed_estimate_MAGNEMITE_('ELECTRIC', 'STEEL')_0_7                                        strategy/public-speed          (none)        OK
speed_estimate_MAGNEMITE_('FIGHTING', 'FIGHTING')_64_7                                    strategy/public-speed          (none)        OK
speed_estimate_MAGNEMITE_('FIGHTING', 'ELECTRIC')_64_7                                    strategy/public-speed          (none)        OK
speed_estimate_MAGNEMITE_('NORMAL', 'NORMAL')_64_7                                        strategy/public-speed          (none)        OK
speed_estimate_ELECTRODE_None_0_13                                                        strategy/public-speed          (none)        OK
revealed_threat_fullFalse_taintedFalse                                                    strategy/revealed-threat       (none)        OK
revealed_threat_fullTrue_taintedFalse                                                     strategy/revealed-threat       (none)        OK
revealed_threat_fullTrue_taintedTrue                                                      strategy/revealed-threat       (none)        OK
